product_id,product_name,piecepercase,category,price,quantity,unit,SGST,CGST,CESS
1379,7 UP,12,PET,65.0,1.25,L,7,7,12
1376,7 UP,12,PET,65.0,1.5,L,7,7,12
3585,7 UP,24,CAN,20.0,150.0,ml,7,7,12
4787,7 UP,30,CAN,30.0,180.0,ml,7,7,12
2211,7 UP,12,PET,35.0,1.0,L,7,7,12
2535,7 UP,9,PET,70.0,2.25,L,7,7,12
1008,7 UP,24,RGP,10.0,200.0,ml,7,7,12
1453,7 UP,24,CAN,20.0,250.0,ml,7,7,12
1466,7 UP,24,PET,15.0,250.0,ml,7,7,12
2499,7 UP,9,PET,65.0,2.0,L,7,7,12
1114,7 UP,24,RGP,25.0,300.0,ml,7,7,12
1940,7 UP,30,PET,20.0,300.0,ml,7,7,12
4255,7 UP,24,CAN,30.0,300.0,ml,7,7,12
1907,7 UP,24,PET,20.0,330.0,ml,7,7,12
7141,7 UP,24,CAN,60.0,330.0,ml,7,7,12
3120,7 UP,24,PET,20.0,400.0,ml,7,7,12
1884,7 UP,24,PET,30.0,475.0,ml,7,7,12
1872,7 UP,24,PET,60.0,500.0,ml,7,7,12
1890,7 UP,30,PET,30.0,600.0,ml,7,7,12
3114,7 UP,24,PET,38.0,750.0,ml,7,7,12
4762,7 UP,40,TETRA,10.0,125.0,ml,7,7,12
1875,7 UP,24,PET,25.0,350.0,ml,7,7,12
2802,AQUAFINA,12,PET,12.0,1.0,L,9,9,0
4232,AQUAFINA,30,PET,6.0,250.0,ml,9,9,0
2826,AQUAFINA,9,PET,25.0,2.0,L,9,9,0
2813,AQUAFINA,24,PET,10.0,500.0,ml,9,9,0
2899,AQUAVESS,12,PET,50.0,1.0,L,7,7,12
4713,AQUAVESS,30,PET,30.0,500.0,ml,7,7,12
8554,CB MILK BUTTERSCOTCH,24,PET,35.0,180.0,ml,7,7,12
8629,CB MILK CHOCOLATE,24,PET,30.0,180.0,ml,7,7,12
8608,CB MILK CHOCOLATE,30,PET,30.0,200.0,ml,7,7,12
8628,CB MILK COFFEE,24,PET,30.0,180.0,ml,7,7,12
8609,CB MILK COFFEE,30,PET,30.0,200.0,ml,7,7,12
8627,CB MILK ELAICHI,24,PET,30.0,180.0,ml,7,7,12
8618,CB MILK ELAICHI,30,PET,20.0,200.0,ml,7,7,12
8626,CB MILK KESAR BADAM,24,PET,30.0,180.0,ml,7,7,12
8617,CB MILK KESAR BADAM,30,PET,20.0,200.0,ml,7,7,12
8630,CB MILK MANGO,24,PET,30.0,180.0,ml,7,7,12
8607,CB MILK MANGO,30,PET,30.0,200.0,ml,7,7,12
8615,CB TADKA CHAACH,40,TETRA,10.0,125.0,ml,7,7,12
8614,CB TADKA CHAACH,30,TETRA,15.0,200.0,ml,7,7,12
2626,EVERVESS SODA,12,PET,25.0,1.25,L,7,7,12
2611,EVERVESS SODA,12,PET,20.0,1.0,L,7,7,12
2658,EVERVESS SODA,9,PET,35.0,2.25,L,7,7,12
2659,EVERVESS SODA,24,PET,10.0,250.0,ml,7,7,12
7390,EVERVESS SODA,24,CAN,25.0,250.0,ml,7,7,12
2610,EVERVESS SODA,9,PET,30.0,2.0,L,7,7,12
2600,EVERVESS SODA,24,RGP,6.0,300.0,ml,7,7,12
1909,EVERVESS SODA,24,PET,10.0,330.0,ml,7,7,12
2612,EVERVESS SODA,24,PET,15.0,600.0,ml,7,7,12
2655,EVERVESS SODA,24,PET,20.0,750.0,ml,7,7,12
1381,MIRINDA ORANGE,12,PET,65.0,1.25,L,7,7,12
1336,MIRINDA ORANGE,12,PET,65.0,1.5,L,7,7,12
3584,MIRINDA ORANGE,24,CAN,20.0,150.0,ml,7,7,12
2209,MIRINDA ORANGE,12,PET,35.0,1.0,L,7,7,12
2533,MIRINDA ORANGE,9,PET,70.0,2.25,L,7,7,12
3979,MIRINDA ORANGE,9,PET,85.0,2.25,L,7,7,12
1006,MIRINDA ORANGE,24,RGP,10.0,200.0,ml,7,7,12
1423,MIRINDA ORANGE,24,CAN,20.0,250.0,ml,7,7,12
1465,MIRINDA ORANGE,24,PET,15.0,250.0,ml,7,7,12
2701,MIRINDA ORANGE,9,PET,65.0,2.0,L,7,7,12
1232,MIRINDA ORANGE,24,RGP,14.0,300.0,ml,7,7,12
1941,MIRINDA ORANGE,30,PET,20.0,300.0,ml,7,7,12
4256,MIRINDA ORANGE,24,CAN,30.0,300.0,ml,7,7,12
1697,MIRINDA ORANGE,24,CAN,60.0,330.0,ml,7,7,12
1908,MIRINDA ORANGE,24,PET,20.0,330.0,ml,7,7,12
3121,MIRINDA ORANGE,24,PET,20.0,400.0,ml,7,7,12
4171,MIRINDA ORANGE,24,PET,60.0,475.0,ml,7,7,12
1870,MIRINDA ORANGE,24,PET,60.0,500.0,ml,7,7,12
1889,MIRINDA ORANGE,30,PET,30.0,600.0,ml,7,7,12
3115,MIRINDA ORANGE,24,PET,38.0,750.0,ml,7,7,12
1386,MOUNTAIN DEW,12,PET,65.0,1.25,L,7,7,12
